iter	Passed	Remaining
403	8018	11829
404	8038	11809
405	8056	11786
406	8075	11766
407	8094	11745
408	8113	11724
409	8132	11702
410	8150	11681
411	8171	11661
412	8191	11641
413	8212	11623
414	8232	11604
415	8251	11584
416	8270	11562
417	8289	11541
418	8307	11519
419	8328	11500
420	8346	11478
421	8365	11458
422	8384	11437
423	8402	11415
424	8421	11393
425	8439	11371
426	8459	11351
427	8478	11331
428	8498	11311
429	8517	11290
430	8535	11268
431	8554	11247
432	8571	11224
433	8591	11204
434	8610	11183
435	8630	11164
436	8653	11148
437	8672	11128
438	8693	11109
439	8710	11086
440	8730	11066
441	8750	11046
442	8771	11028
443	8792	11010
444	8811	10990
445	8829	10967
446	8848	10946
447	8868	10927
448	8890	10909
449	8908	10887
450	8926	10866
451	8945	10845
452	8965	10825
453	8984	10805
454	9003	10784
455	9021	10762
456	9041	10743
457	9060	10722
458	9078	10700
459	9100	10683
460	9118	10661
461	9136	10639
462	9154	10617
463	9174	10598
464	9192	10576
465	9210	10554
466	9229	10533
467	9247	10512
468	9268	10493
469	9286	10471
470	9307	10453
471	9325	10432
472	9344	10410
473	9364	10391
474	9384	10372
475	9402	10350
476	9422	10331
477	9443	10313
478	9464	10294
479	9484	10275
480	9502	10252
481	9522	10233
482	9543	10214
483	9561	10193
484	9580	10173
485	9599	10152
486	9616	10130
487	9635	10108
488	9653	10087
489	9672	10067
490	9693	10049
491	9712	10028
492	9731	10007
493	9749	9986
494	9770	9967
495	9789	9947
496	9808	9926
497	9827	9906
498	9848	9887
499	9868	9868
500	9888	9848
501	9907	9828
502	9924	9806
503	9942	9784
504	9961	9764
505	9982	9746
506	10001	9725
507	10021	9706
508	10040	9685
509	10061	9666
510	10082	9648
511	10101	9627
512	10120	9607
513	10140	9587
514	10160	9568
515	10179	9548
516	10197	9527
517	10216	9506
518	10233	9484
519	10251	9463
520	10270	9442
521	10289	9422
522	10309	9403
523	10330	9384
524	10350	9364
525	10368	9343
526	10388	9323
527	10406	9303
528	10425	9282
529	10442	9260
530	10461	9239
531	10480	9220
532	10500	9200
533	10518	9179
534	10537	9158
535	10555	9137
536	10576	9118
537	10596	9099
538	10614	9078
539	10634	9058
540	10653	9039
541	10673	9019
542	10693	8999
543	10713	8980
544	10732	8960
545	10750	8939
546	10770	8919
547	10789	8899
548	10809	8880
549	10827	8859
550	10846	8838
551	10865	8818
552	10883	8797
553	10901	8776
554	10921	8757
555	10941	8737
556	10961	8717
557	10981	8698
558	10999	8677
559	11019	8658
560	11041	8640
561	11060	8619
562	11080	8600
563	11098	8579
564	11117	8559
565	11137	8540
566	11155	8519
567	11175	8499
568	11194	8479
569	11213	8459
570	11233	8439
571	11251	8418
572	11269	8398
573	11288	8377
574	11306	8357
575	11325	8336
576	11344	8317
577	11363	8296
578	11383	8277
579	11403	8258
580	11423	8238
581	11442	8218
582	11461	8197
583	11480	8177
584	11498	8157
585	11518	8137
586	11538	8118
587	11556	8097
588	11577	8078
589	11598	8060
590	11617	8039
591	11639	8021
592	11658	8001
593	11676	7981
594	11696	7961
595	11715	7941
596	11733	7920
597	11751	7899
598	11771	7880
599	11790	7860
600	11810	7840
601	11829	7820
602	11847	7800
603	11866	7780
604	11884	7759
605	11902	7738
606	11925	7720
607	11944	7700
608	11963	7681
609	11983	7661
610	12002	7641
611	12021	7621
612	12039	7601
613	12057	7580
614	12075	7559
615	12095	7539
616	12114	7519
617	12133	7499
618	12151	7479
619	12169	7458
620	12189	7439
621	12207	7418
622	12226	7398
623	12247	7379
624	12265	7359
625	12286	7340
626	12304	7319
627	12324	7300
628	12342	7279
629	12360	7259
