iter	RMSE
118	0.5007896709
119	0.5007850998
120	0.5007768777
121	0.5007712733
122	0.5007662662
123	0.500762852
124	0.500759043
125	0.5007493737
126	0.5007432449
127	0.5007388283
128	0.5007276735
129	0.5007232084
130	0.5007159609
131	0.5007065396
132	0.5007011844
133	0.5006935233
134	0.5006892816
135	0.5006844937
136	0.5006797974
137	0.5006750585
138	0.500667154
139	0.5006609653
140	0.5006563234
141	0.5006527177
142	0.5006444463
143	0.5006346923
144	0.5006277331
145	0.5006225976
146	0.5006194587
147	0.5006161906
148	0.5006100584
149	0.5006057786
150	0.5006016436
151	0.5005958013
152	0.5005917112
153	0.5005857816
154	0.5005802342
155	0.5005731946
156	0.5005692237
157	0.5005640866
158	0.5005593032
159	0.500554037
160	0.5005498079
161	0.5005455521
162	0.5005390596
163	0.5005343378
164	0.5005298113
165	0.5005265794
166	0.500520987
167	0.5005170219
168	0.5005114216
169	0.5005072522
170	0.500503128
171	0.5004980805
172	0.500493741
173	0.5004902016
174	0.5004837867
175	0.5004802466
176	0.5004754677
177	0.5004709325
178	0.5004664501
179	0.5004593631
180	0.5004547789
181	0.5004511024
182	0.5004443956
183	0.5004393651
184	0.5004346844
185	0.5004300849
186	0.5004257817
187	0.5004215118
188	0.5004187917
189	0.5004136708
190	0.5004089708
191	0.5004041503
192	0.5003981351
193	0.5003946856
194	0.5003898873
195	0.5003857875
196	0.5003830244
197	0.5003787624
198	0.5003746055
199	0.5003713378
200	0.5003684186
201	0.5003644212
202	0.500358779
203	0.500353712
204	0.5003474421
205	0.5003429845
206	0.5003398799
207	0.5003347593
208	0.5003310375
209	0.5003283953
210	0.5003248125
211	0.5003205946
212	0.5003163014
213	0.5003120706
214	0.5003062818
215	0.5003023862
216	0.500299087
217	0.5002939632
218	0.500289351
219	0.5002860065
220	0.5002804409
221	0.5002768643
222	0.5002730971
223	0.5002701027
224	0.500267064
225	0.5002638426
226	0.5002594721
227	0.5002560598
228	0.5002515271
229	0.5002485681
230	0.5002448901
231	0.5002411621
232	0.5002375856
233	0.5002341042
234	0.500229447
235	0.5002252505
236	0.5002216434
237	0.5002178138
238	0.5002127355
239	0.5002084457
240	0.5002035301
241	0.5001989711
242	0.5001948484
243	0.5001917421
244	0.5001887927
245	0.5001841586
246	0.5001804623
247	0.5001763942
248	0.500172103
249	0.5001681268
250	0.5001643647
251	0.5001605248
252	0.5001568395
253	0.5001548695
254	0.500150725
255	0.500147727
256	0.5001436933
257	0.5001408174
258	0.5001369011
259	0.5001334143
260	0.5001288295
261	0.5001236357
262	0.5001206295
263	0.5001176191
264	0.5001138047
265	0.5001101655
266	0.5001064229
267	0.5001035482
268	0.5001001561
269	0.5000961715
270	0.5000919313
271	0.5000872169
272	0.5000840745
273	0.500080296
274	0.5000769135
275	0.5000741376
276	0.5000701484
277	0.5000677409
278	0.5000635983
279	0.5000604113
280	0.5000570551
281	0.500053219
282	0.5000508687
283	0.5000456131
284	0.5000414123
285	0.5000382504
286	0.5000345826
287	0.5000310506
288	0.500027748
289	0.5000240557
290	0.5000209976
291	0.5000175294
292	0.500013863
293	0.5000106107
294	0.500007398
295	0.5000042008
296	0.500000877
297	0.4999978845
298	0.4999939342
299	0.4999907337
300	0.4999883482
301	0.4999845274
302	0.4999821519
303	0.4999784303
304	0.4999758741
305	0.4999731389
306	0.4999697258
307	0.4999661381
308	0.4999637327
309	0.499958053
310	0.499954106
311	0.4999498649
312	0.4999457834
313	0.4999418068
314	0.4999394395
315	0.4999363321
316	0.4999329399
317	0.4999288166
318	0.4999251327
319	0.4999213685
320	0.4999177314
321	0.4999144509
322	0.4999113701
323	0.4999059225
324	0.4999018012
325	0.4998987528
326	0.4998945997
327	0.4998905152
328	0.4998863017
329	0.4998815102
330	0.4998778056
331	0.4998723889
332	0.4998682419
333	0.4998628997
334	0.4998583838
335	0.4998553623
336	0.4998515533
337	0.4998467297
338	0.4998437058
339	0.4998406372
340	0.4998369628
341	0.4998333689
342	0.4998289912
343	0.4998260094
344	0.4998228498
345	0.4998197366
346	0.4998152298
347	0.4998121245
348	0.4998081523
349	0.4998046295
350	0.4998023062
351	0.4997980295
352	0.499794657
353	0.4997904242
354	0.4997874838
355	0.4997850127
356	0.4997814819
357	0.4997785775
358	0.4997761172
359	0.4997731193
360	0.4997695726
361	0.4997663051
362	0.4997631831
363	0.4997602205
364	0.4997568539
365	0.4997542167
366	0.4997520955
367	0.4997477445
368	0.4997442545
369	0.4997423607
370	0.4997384262
371	0.4997350834
372	0.4997314245
373	0.4997267074
374	0.4997232408
375	0.4997196263
376	0.4997164734
377	0.4997138167
378	0.4997106437
379	0.49970746
380	0.4997042057
381	0.4997008016
382	0.4996971436
383	0.4996942776
384	0.4996910404
385	0.4996874854
386	0.4996842012
387	0.499680408
388	0.4996768089
389	0.4996729744
390	0.4996711625
391	0.4996677842
392	0.4996631334
393	0.499659456
394	0.4996560784
395	0.4996529218
396	0.4996488407
397	0.4996462961
398	0.4996425271
399	0.4996379017
400	0.499633772
401	0.499631522
402	0.4996276398
403	0.4996243577
404	0.4996210506
405	0.4996181362
406	0.499614094
407	0.4996104886
408	0.4996071322
409	0.4996033614
410	0.4995997121
411	0.4995972157
412	0.4995940241
413	0.4995900974
414	0.4995876598
415	0.4995850447
416	0.4995809587
417	0.499578096
418	0.4995746106
419	0.4995715279
420	0.4995688857
421	0.4995662884
422	0.4995642097
423	0.4995607934
424	0.4995577519
425	0.4995551613
426	0.4995517426
427	0.4995478094
428	0.4995447781
429	0.499542184
430	0.4995387866
431	0.4995355215
432	0.4995326099
433	0.4995288842
434	0.4995252771
435	0.4995221433
436	0.4995183552
437	0.4995148888
438	0.4995105355
439	0.4995082269
440	0.4995057804
441	0.4995026859
442	0.4994992745
443	0.4994948651
444	0.4994910887
445	0.4994888683
446	0.4994846403
447	0.499482281
448	0.4994789874
449	0.4994750425
450	0.4994707626
451	0.4994682521
452	0.499465027
453	0.4994615365
454	0.4994581553
455	0.4994545613
456	0.4994510638
457	0.4994471412
458	0.4994445926
459	0.4994412737
460	0.4994383209
461	0.4994361368
462	0.4994324438
463	0.4994289599
464	0.4994255708
465	0.4994218069
466	0.4994185833
467	0.4994153987
468	0.499412009
469	0.4994097547
470	0.4994057301
471	0.4994030215
472	0.4993985266
473	0.4993957318
474	0.49939197
475	0.4993873184
476	0.4993841274
477	0.4993811964
478	0.4993767271
479	0.4993737559
480	0.4993699981
481	0.4993652298
482	0.4993625841
483	0.4993595823
484	0.499355403
485	0.4993528292
486	0.4993506214
487	0.4993481839
488	0.4993445146
489	0.4993414906
490	0.4993386353
491	0.4993345897
492	0.499330636
493	0.4993268135
494	0.4993239804
495	0.4993215264
496	0.4993184026
497	0.4993141873
498	0.4993102495
499	0.4993066875
500	0.4993026376
501	0.49930004
502	0.4992980198
503	0.4992950971
504	0.4992922222
505	0.4992896586
506	0.4992860573
507	0.4992832877
508	0.4992801475
509	0.4992771214
510	0.4992750257
511	0.4992717519
512	0.4992683864
513	0.4992650324
514	0.4992623674
515	0.4992594111
516	0.4992568128
517	0.4992537904
518	0.4992514247
519	0.4992474382
520	0.4992429229
521	0.4992401629
522	0.4992362733
523	0.4992333871
524	0.4992304897
525	0.4992269374
526	0.4992240726
527	0.4992211287
528	0.49921846
529	0.4992154271
530	0.4992123919
531	0.4992093025
532	0.4992061545
533	0.4992037821
534	0.4992006747
535	0.4991974713
536	0.4991950869
537	0.4991920738
538	0.4991893925
539	0.4991863629
540	0.499182524
541	0.4991791571
542	0.4991754388
543	0.4991722811
544	0.4991669344
545	0.4991635048
546	0.4991609467
547	0.4991576008
548	0.4991546677
549	0.4991511939
550	0.4991478038
551	0.4991452296
552	0.4991416463
553	0.4991383841
554	0.4991351128
555	0.4991330433
556	0.4991304511
557	0.4991264702
558	0.4991237816
559	0.4991208396
560	0.4991175458
561	0.4991141866
562	0.4991115133
563	0.4991090893
564	0.4991061902
565	0.4991023547
566	0.4991000346
567	0.4990957143
568	0.4990933956
569	0.4990914322
570	0.4990867085
571	0.4990835835
572	0.4990796529
573	0.4990766912
574	0.499073197
575	0.4990703734
576	0.4990670257
577	0.4990642362
578	0.4990603894
579	0.4990569318
580	0.4990537524
581	0.4990504839
582	0.499047733
583	0.49904422
584	0.4990416834
585	0.4990381248
586	0.4990341272
587	0.4990309702
588	0.4990274742
589	0.4990246108
590	0.4990211495
591	0.4990174805
592	0.4990150726
593	0.4990118757
594	0.4990093112
595	0.49900553
596	0.4990024704
597	0.4989993294
598	0.4989966355
599	0.4989940965
600	0.4989900916
601	0.4989876614
602	0.4989845356
603	0.4989819855
604	0.4989793938
605	0.4989766852
606	0.4989736486
607	0.4989706291
608	0.4989677199
609	0.4989640461
610	0.4989610395
611	0.498958289
612	0.4989559336
613	0.4989540547
614	0.4989513297
615	0.4989472071
616	0.4989444031
617	0.4989416396
618	0.4989392521
619	0.4989364579
620	0.4989338239
621	0.498930914
622	0.49892814
623	0.4989250152
624	0.4989210388
625	0.4989178114
626	0.4989149286
627	0.4989111948
628	0.4989085229
629	0.4989057754
630	0.4989025336
631	0.4988994897
632	0.4988970983
633	0.4988932695
634	0.498889995
635	0.4988872153
636	0.4988835428
637	0.4988800414
638	0.49887683
639	0.4988739273
640	0.498871251
641	0.4988693363
642	0.4988662562
643	0.4988621208
644	0.4988581151
645	0.4988540897
646	0.498850041
647	0.4988476
648	0.4988447658
649	0.4988420346
650	0.4988392139
651	0.4988358746
652	0.4988329541
653	0.4988306904
654	0.4988276836
655	0.4988250424
656	0.4988225441
657	0.4988190744
658	0.4988158641
659	0.4988134826
660	0.4988116914
661	0.4988073657
662	0.4988050733
663	0.4988024051
664	0.4987997948
665	0.4987970458
666	0.4987954329
667	0.4987920713
668	0.4987874943
669	0.4987843754
670	0.498781785
671	0.4987780044
672	0.4987745369
673	0.4987717468
674	0.4987676013
675	0.4987652526
676	0.4987622494
677	0.4987594562
678	0.4987572421
679	0.4987545736
680	0.4987520741
681	0.4987489207
682	0.4987458456
683	0.4987431086
684	0.4987396617
685	0.498737128
686	0.4987351695
687	0.4987320289
688	0.4987288765
689	0.4987255968
690	0.4987218893
691	0.4987196926
692	0.4987166868
693	0.4987128167
694	0.4987099537
695	0.4987066117
696	0.4987025545
697	0.4987001216
698	0.498696719
699	0.4986946724
700	0.4986922483
701	0.4986888716
702	0.4986863435
703	0.4986824971
704	0.4986783973
705	0.4986744012
706	0.4986715215
707	0.4986684778
708	0.4986663668
709	0.4986643884
710	0.4986610288
711	0.4986582887
712	0.4986561303
713	0.4986537208
714	0.4986514
715	0.4986486766
716	0.4986458086
717	0.4986433056
718	0.4986408512
719	0.4986381704
720	0.4986351968
721	0.4986327772
722	0.4986285854
723	0.4986261238
724	0.4986240436
725	0.4986206525
726	0.4986166783
727	0.4986134737
728	0.4986108152
729	0.4986091634
730	0.4986074163
731	0.4986044159
732	0.4986021506
733	0.4985991105
734	0.4985964163
735	0.4985938956
736	0.4985904201
737	0.4985880528
738	0.4985859519
739	0.4985828427
740	0.498580724
741	0.4985783134
742	0.4985759465
743	0.4985726835
744	0.498569322
745	0.498566952
746	0.4985638651
747	0.4985604143
748	0.498557219
749	0.498554419
750	0.4985517339
751	0.4985482683
752	0.4985464369
753	0.4985426691
754	0.4985389988
755	0.4985365155
756	0.4985339919
757	0.4985312242
758	0.4985296442
759	0.4985269492
760	0.4985238909
761	0.4985212969
762	0.4985187413
763	0.4985162247
764	0.4985128428
765	0.4985102122
766	0.4985073957
767	0.4985049169
768	0.4985018417
769	0.498499756
770	0.4984973901
771	0.4984952141
772	0.4984921409
773	0.4984898946
774	0.4984864968
775	0.4984837998
776	0.4984808781
777	0.4984777723
778	0.4984754379
779	0.4984729399
780	0.4984700023
781	0.4984681928
782	0.4984653899
783	0.4984626232
784	0.4984597935
785	0.4984572019
786	0.4984547678
787	0.4984530372
788	0.4984506654
789	0.4984471796
790	0.4984451773
791	0.4984421866
792	0.4984393227
793	0.4984362299
794	0.4984330235
795	0.4984310616
796	0.4984279992
797	0.4984253791
798	0.4984219929
799	0.4984193323
800	0.4984166492
801	0.4984132634
802	0.4984109873
803	0.4984088768
804	0.498406428
805	0.4984043342
806	0.4984012632
807	0.4983985065
808	0.4983971066
809	0.4983941122
810	0.4983898698
811	0.4983876627
812	0.4983849701
813	0.4983828986
814	0.4983807386
815	0.4983778448
816	0.4983753136
817	0.498372533
818	0.4983703407
819	0.4983675361
820	0.4983637108
821	0.4983602315
822	0.4983573181
823	0.4983534276
824	0.498349401
825	0.4983463298
826	0.4983431435
827	0.4983408163
828	0.4983376978
829	0.4983354058
830	0.4983327533
831	0.4983289345
832	0.4983268232
833	0.4983242607
834	0.4983218807
835	0.4983195592
836	0.4983166029
837	0.4983126006
838	0.4983098358
839	0.498307344
840	0.4983029874
841	0.4983000435
842	0.4982970159
843	0.4982947759
844	0.4982921097
845	0.4982897769
846	0.4982872141
847	0.4982840938
848	0.4982811087
849	0.4982773296
850	0.4982744874
851	0.498272598
852	0.4982706776
853	0.4982679789
854	0.4982651674
855	0.4982628059
856	0.4982603635
857	0.4982582293
858	0.4982545176
859	0.4982521461
860	0.4982494121
861	0.4982472157
862	0.4982445114
863	0.4982410877
864	0.4982384442
865	0.4982361102
866	0.4982329888
867	0.4982299877
868	0.4982274619
869	0.4982245873
870	0.4982221564
871	0.4982196176
872	0.4982166414
873	0.4982138305
874	0.4982111376
875	0.4982085964
876	0.4982045088
877	0.4982010974
878	0.4981973449
879	0.4981934952
880	0.4981899112
881	0.49818709
882	0.4981832044
883	0.4981808046
884	0.4981777212
885	0.4981749857
886	0.4981728507
887	0.498170319
888	0.4981677361
889	0.4981647908
890	0.498161247
891	0.4981595857
892	0.498156279
893	0.4981524705
894	0.4981498324
895	0.4981474412
896	0.4981454089
897	0.4981433384
898	0.4981402504
899	0.4981372159
900	0.4981353099
901	0.4981327675
902	0.4981305056
903	0.4981277885
904	0.4981251004
905	0.4981208939
906	0.4981183511
907	0.4981160995
908	0.49811343
909	0.4981105522
910	0.4981086772
911	0.4981055744
912	0.4981025526
913	0.4981001944
914	0.4980975712
915	0.4980951599
916	0.498093043
917	0.4980899294
918	0.4980873502
919	0.4980830086
920	0.4980806187
921	0.4980777349
922	0.4980744601
923	0.4980716959
924	0.4980693446
925	0.4980662161
926	0.4980627392
927	0.4980594312
928	0.4980573874
929	0.4980550908
930	0.4980523246
931	0.4980494997
932	0.4980475069
933	0.4980449416
934	0.49804124
935	0.4980382085
936	0.4980358928
937	0.4980330151
938	0.4980301295
939	0.4980269581
940	0.4980234348
941	0.4980208442
942	0.4980183146
943	0.4980151959
944	0.49801205
945	0.4980097724
946	0.4980072453
947	0.4980040184
948	0.4980007891
949	0.4979980613
950	0.4979952056
951	0.4979929466
952	0.4979899795
953	0.4979875956
954	0.4979854402
955	0.4979829708
956	0.497981329
957	0.4979775746
958	0.497974352
959	0.4979723461
960	0.4979697094
961	0.4979674078
962	0.4979652951
963	0.4979630561
964	0.4979597432
965	0.4979567668
966	0.4979539309
967	0.49795161
968	0.4979485496
969	0.4979457802
970	0.4979430645
971	0.4979405466
972	0.4979381971
973	0.4979354839
974	0.4979320705
975	0.4979285248
976	0.4979261312
977	0.4979224948
978	0.4979195641
979	0.4979168644
980	0.4979145022
981	0.4979115601
982	0.4979089219
983	0.4979059517
984	0.4979037321
985	0.4979007597
986	0.4978979546
987	0.4978938591
988	0.4978912893
989	0.4978890474
990	0.4978860566
991	0.4978820192
992	0.4978786297
993	0.497876482
994	0.4978743319
995	0.4978721883
996	0.4978693459
997	0.497866099
998	0.4978630863
999	0.4978606724
